phase_id,step_id,phase_name,step_title,description,deliverable,dependencies,priority,effort,notes
0,0.1,Repository Setup,Initialize repository structure,"Create the full directory tree for the module: templates/universal/, templates/domain/, schemas/, src/frameworks/, examples/ (software-project/, research-project/, data-pipeline/). Create placeholder .gitkeep files where needed.","Directory tree at /agentteams/ matching the layout in §5.1 of the plan",None,P0,S,"Run: mkdir -p templates/{universal,domain} schemas src/frameworks examples/{software-project,research-project,data-pipeline} .github/agents"
0,0.2,Repository Setup,Create root README skeleton,"Write a minimal README.md with: project title, one-paragraph description, quick-start command stub, and section placeholders for full CLI reference and description format guide. Mark all incomplete sections with [TODO].","README.md",0.1,P0,S,"Fill in full content in Phase 8; create skeleton now so the file exists."
0,0.3,Repository Setup,Create .gitignore,"Add .gitignore covering Python artifacts (__pycache__, *.pyc, .venv/, dist/, *.egg-info/), macOS artifacts (.DS_Store), test artifacts (.pytest_cache/, htmlcov/), and generated team output if any.".gitignore",0.1,P0,XS,None
0,0.4,Repository Setup,Initialize Python package structure,"Create src/__init__.py, src/frameworks/__init__.py. Create build_team.py as an empty stub with a TODO comment. This establishes the import paths used throughout development.","src/__init__.py, src/frameworks/__init__.py, build_team.py stub",0.1,P0,S,None
0,0.5,Repository Setup,Define placeholder syntax convention,"Document and enforce the placeholder syntax used across all templates: {PLACEHOLDER_NAME} for auto-resolvable fields; {MANUAL:PLACEHOLDER_NAME} for fields requiring manual completion. Write this to templates/PLACEHOLDER-CONVENTIONS.md.","templates/PLACEHOLDER-CONVENTIONS.md",0.2,P0,S,"This convention must be established before any templates are authored."
1,1.1,Template Library,Author orchestrator template,"Write templates/universal/orchestrator.template.md. Include: YAML front matter with all universal + domain agent slug placeholders in agents: list; full handoffs block with one handoff per downstream agent; Invariant Core section with all eight constitutional rules; Workflows section with numbered step sequences for each workflow type (produce, review, audit, cleanup, output-compile); Authority Hierarchy section; Domain Agent Routing table.","templates/universal/orchestrator.template.md",0.5,P1,L,"This is the highest-complexity template. Draw directly from the book project's orchestrator.agent.md as the reference. Parameterize: project name, primary deliverable name, output directory names, domain agent slugs."
1,1.2,Template Library,Author navigator template,"Write templates/universal/navigator.template.md. Include: read-only tools declaration; project map maintenance procedure; structural query procedure; dependency tracking table (parameterized for project workstreams); invariant rules (never answer from memory, regenerate map after structural changes, read-oriented).","templates/universal/navigator.template.md",0.5,P1,M,None
1,1.3,Template Library,Author security template,"Write templates/universal/security.template.md. Include: highest-priority designation; read-only tools; mandatory review triggers table (generalized from book project triggers: file deletion, agent file modification, external repo write, credential-adjacent content, bulk edit ≥3 files, unverified reference addition); four security rules (credentials, read-only external repos, reference integrity, destructive operations); PASS/HALT output format.","templates/universal/security.template.md",0.5,P1,M,"Security template must be the strictest — HALT directive must be non-negotiable."
1,1.4,Template Library,Author adversarial template,"Write templates/universal/adversarial.template.md. Include: read-only tools; five-step critique protocol (extract presuppositions, classify, challenge, cascade analysis, synthesize); presupposition categories table; output format specification; rules (invoked before destructive/irreversible plans, not an obstructor, cascade analysis required for every challenged presupposition).","templates/universal/adversarial.template.md",0.5,P1,M,None
1,1.5,Template Library,Author conflict-auditor template,"Write templates/universal/conflict-auditor.template.md. Include: audit scope (each project output layer); conflict categories table (TERM_MISMATCH, CLAIM_CONFLICT, ATTRIBUTION_ERROR, SOURCE_DRIFT, CITATION_MISSING, COUNT_MISMATCH, HIERARCHY_CONFLICT, STALE_REFERENCE, PHANTOM_ENTRY); conflict log format; delegation rules (route to bibliography-manager or technical-validator as appropriate); handoff to conflict-resolution.","templates/universal/conflict-auditor.template.md",0.5,P1,M,None
1,1.6,Template Library,Author conflict-resolution template,"Write templates/universal/conflict-resolution.template.md. Include: ACCEPT/REJECT/REVISE decision framework; decision criteria per conflict category; escalation rule (unresolvable conflicts go to orchestrator); resolution log update procedure.","templates/universal/conflict-resolution.template.md",1.5,P1,M,None
1,1.7,Template Library,Author cleanup template,"Write templates/universal/cleanup.template.md. Include: protected file categories table (parameterized for project output types); four mandatory safety checks (reference scan, import/include scan, content inspection, security clearance); artifact pattern table (parameterized for project tool stack); execution procedure; removal report format.","templates/universal/cleanup.template.md",0.5,P1,M,None
1,1.8,Template Library,Author agent-updater template,"Write templates/universal/agent-updater.template.md. Include: trigger conditions table (parameterized for project file patterns); change-to-agent mapping table; step-by-step update workflow; living document rules (no stale content, no dated logs, no resolved-issue archaeology).","templates/universal/agent-updater.template.md",0.5,P1,M,None
1,1.9,Template Library,Author agent-refactor template,"Write templates/universal/agent-refactor.template.md. Include: extraction criteria (size, type, shared, volatile); what NOT to extract list; extraction workflow; spec compliance check list (YAML front matter fields, invariant core presence, handoff completeness, tool declarations).","templates/universal/agent-refactor.template.md",0.5,P1,M,None
1,1.10,Template Library,Author primary-producer domain template,"Write templates/domain/primary-producer.template.md. This is the agent that creates the project's main deliverable (analogous to book-content-expert). Include: relationship to workstream experts (receives briefs, produces output, iterates on review); core responsibilities parameterized for deliverable type; handoffs to quality-auditor, technical-validator, style-guardian, conflict-auditor; rules for brief-driven production.","templates/domain/primary-producer.template.md",0.5,P1,M,None
1,1.11,Template Library,Author quality-auditor domain template,"Write templates/domain/quality-auditor.template.md. Read-only agent. Include: operating principle (every output must advance a stated goal); defect taxonomy (structural weakness, purposeless content, pattern violations, logical inconsistencies); audit procedure (three passes: structure, patterns, logic); boundary rules (does NOT rewrite, does NOT check technical accuracy — delegates to technical-validator); severity classification (Critical/High/Medium/Low); report format.","templates/domain/quality-auditor.template.md",0.5,P1,M,None
1,1.12,Template Library,Author cohesion-repairer domain template,"Write templates/domain/cohesion-repairer.template.md. Edit-capable. Include: five diagnostic patterns (flat juxtaposition, broken given-new chain, missing spine, orphaned evidence, uniform architecture); four integration strategies; unit of work definition (section- or module-level boundaries, not whole-file); constraints (does NOT reorganize across units, does NOT make content decisions); handoff to style-guardian after repair.","templates/domain/cohesion-repairer.template.md",0.5,P1,M,None
1,1.13,Template Library,Author style-guardian domain template,"Write templates/domain/style-guardian.template.md. Parameterized for project's style reference. Include: three-priority audit structure (architectural/macro patterns first, anti-pattern elimination second, style fidelity third); calibration sources (parameterized for project's style reference documents); deviation report format; exclusivity rule (sole agent authorized to issue style deviation rulings).","templates/domain/style-guardian.template.md",0.5,P1,M,None
1,1.14,Template Library,Author technical-validator domain template,"Write templates/domain/technical-validator.template.md. Read-only agent. Include: technical accuracy rules table (source fidelity, excerpt accuracy, description accuracy, directory claims, single source of truth, count accuracy, path resolution, command verification); cross-reference rules; delegation rules (route citation issues to reference-manager, consistency issues to conflict-auditor).","templates/domain/technical-validator.template.md",0.5,P1,M,None
1,1.15,Template Library,Author format-converter domain template,"Write templates/domain/format-converter.template.md. Parameterized for source and target formats. Include: input format requirements (structure, IDs, element conventions); output format specification; conversion procedure; validation step (verify all IDs, references, and structural elements converted correctly); error report format.","templates/domain/format-converter.template.md",0.5,P1,M,None
1,1.16,Template Library,Author reference-manager domain template,"Write templates/domain/reference-manager.template.md. Include: reference database location (parameterized); CRUD operations (add, verify, deduplicate, retire); anti-fabrication rule (every referenced item must be independently verifiable); tiered verification procedure; citation key convention (parameterized); report format.","templates/domain/reference-manager.template.md",0.5,P1,M,None
1,1.17,Template Library,Author output-compiler domain template,"Write templates/domain/output-compiler.template.md. Include: assembly procedure (gather sources, verify all dependencies resolved, compile to final format); depenency check (all referenced files exist, all IDs resolve, all references verified); build artifact manifest; error and warning classification.","templates/domain/output-compiler.template.md",0.5,P1,M,None
1,1.18,Template Library,Author visual-designer domain template,"Write templates/domain/visual-designer.template.md. Include: diagram types handled (parameterized for project tool stack, e.g., Graphviz/DOT, Mermaid, PlantUML); naming conventions for figure files; figure reference protocol (how chapters/documents reference figures); revision procedure; handoff to format-converter when figure is used in compiled output.","templates/domain/visual-designer.template.md",0.5,P1,M,None
1,1.19,Template Library,Author workstream-expert template,"Write templates/workstream-expert.template.md. This is the most heavily parameterized template: instantiated once per project component. Include: YAML front matter placeholders for component name, slug, output file; invariant core with component specification block (thesis/spec, output file, sections/modules, sources, dependencies, quality criteria, cross-refs, key arguments); shared procedures reference; Chapter Brief / Component Brief preparation workflow; review-and-approve workflow; handoffs to primary-producer, reference-manager, conflict-auditor.","templates/workstream-expert.template.md",1.1,P1,L,"Model directly on chapter-expert.template.md but generalize terminology: thesis→spec, chapter→component, html→primary deliverable, sections→modules."
1,1.20,Template Library,Author copilot-instructions template,"Write templates/copilot-instructions.template.md. Include: project overview, directory structure (parameterized for project layout), output conventions, authority hierarchy (parameterized for project truth sources), constitutional rules, source repositories (parameterized). This file is written to the project root as copilot-instructions.md.","templates/copilot-instructions.template.md",0.5,P1,M,None
1,1.21,Template Library,Author tool-specific agent template,"Write templates/domain/tool-specific.template.md. A specialized sub-template for agents that own a single tool (e.g., a deployment pipeline, a database tool, a specific API). Include: tool identification (name, version, config files), configuration management procedure, invocation procedure, verification procedure (did the tool succeed?), cleanup procedure, escalation rules.","templates/domain/tool-specific.template.md",0.5,P2,M,"Lower priority than core domain templates; add after primary archetypes are complete."
2,2.1,Input Schema & Ingestion,Define project-description JSON Schema,"Write schemas/project-description.schema.json. Define the normalized representation of a project description with required field: project_goal. Optional fields: project_name, deliverables (array), processes (array), domains (array), tools (array of {name, category, config_files}), authority_sources (array of {name, path, scope}), style_rules (array), existing_project_path.","schemas/project-description.schema.json",0.4,P1,M,"Validate against all three example project descriptions before finalizing."
2,2.2,Input Schema & Ingestion,Define team-manifest JSON Schema,"Write schemas/team-manifest.schema.json. This is the module's internal representation of a generated team: project metadata, selected_archetypes (list), workstream_experts (list of {slug, name, component_spec}), tool_agents (list), auto_resolved_placeholders (dict), manual_required_placeholders (list), authority_hierarchy (ranked list), output_files (list).","schemas/team-manifest.schema.json",2.1,P1,M,None
2,2.3,Input Schema & Ingestion,Implement ingest.py — Markdown parser,"Implement src/ingest.py. Parse a Markdown or plain-text project description into the project-description JSON Schema. Handle: section detection by heading (## Project Goal, ## Deliverables, etc.), fallback unstructured parsing if sections are missing (treat entire document as project_goal with NLP-light extraction of nouns as domain candidates), whitespace and encoding normalization.","src/ingest.py",2.1,P1,M,"Use stdlib only (re, pathlib). Do not require a Markdown library."
2,2.4,Input Schema & Ingestion,Implement ingest.py — existing project scanner,"Extend src/ingest.py with existing-project mode. When --project points to a non-empty directory: scan directory tree (max depth 3) for file type distribution; extract README.md if present; read .gitignore patterns; check for existing .github/agents/ files; merge findings with any provided description. Output a combined normalized dict.","src/ingest.py (extended)",2.3,P1,M,"Directory scan uses os.walk. Identify primary language from file extensions. Identify output directories from .gitignore negation patterns."
2,2.5,Input Schema & Ingestion,Implement input validation and error reporting,"Add validate() function to src/ingest.py. Check: project_goal is non-empty, all provided paths resolve, at least one of deliverables or domains is populated (warn if neither). Return structured error list with field name and message; main CLI will print these before exiting.","src/ingest.py (validation)",2.3,P1,S,None
3,3.1,Analysis Engine,Implement project type classifier,"Implement project type classification in src/analyze.py. Input: normalized project description dict. Output: project_type in ('software', 'content', 'research', 'data-pipeline', 'mixed'). Classification rules: presence of code-related tools → software; presence of document/chapter/report deliverables → content; presence of citation/bibliography markers → research; presence of ETL/pipeline/schedule terms → data-pipeline; >1 type → mixed.","src/analyze.py (classify_project_type)",2.3,P1,M,"Use keyword matching against a bundled keyword list (no external NLP). Keyword lists can be extended without code changes."
3,3.2,Analysis Engine,Implement workstream extractor,"Implement extract_workstreams() in src/analyze.py. Rules: each entry in deliverables generates a candidate workstream; each entry in domains that is not already covered by a deliverable generates a candidate workstream; workstreams with fewer than 2 distinct quality criteria or sources are merged into the nearest related workstream. Return list of {slug, name, description, primary_sources, quality_criteria, output_file_pattern}.","src/analyze.py (extract_workstreams)",3.1,P1,M,"Slugify workstream names: lowercase, replace spaces with hyphens, strip special chars."
3,3.3,Analysis Engine,Implement domain archetype selector,"Implement select_archetypes() in src/analyze.py. Apply the selection rules from build-team-plan.md §Appendix to the project profile. Return list of archetype names to include. Always include primary-producer. Add quality-auditor and cohesion-repairer for content/research projects; technical-validator for software/data-pipeline; reference-manager for research; format-converter and output-compiler for projects with multiple output formats; visual-designer if diagram tools detected.","src/analyze.py (select_archetypes)",3.1,P1,M,None
3,3.4,Analysis Engine,Implement authority hierarchy builder,"Implement build_authority_hierarchy() in src/analyze.py. Construct a ranked list of truth sources from the project description. Default hierarchy (if not specified): (1) source code on disk, (2) external specifications/published references, (3) copilot-instructions.md, (4) agent documentation, (5) primary outputs, (6) generated artifacts. Augment with any authority_sources provided in the description.","src/analyze.py (build_authority_hierarchy)",3.1,P1,S,None
3,3.5,Analysis Engine,Implement tool agent detector,"Implement detect_tool_agents() in src/analyze.py. For each tool in the project description's tools list: if the tool has non-trivial configuration or invocation complexity (category in ('pipeline', 'database', 'api', 'deployment', 'compiler')), generate a tool-specific agent entry. Return list of {slug, tool_name, tool_category, config_files}.","src/analyze.py (detect_tool_agents)",3.1,P2,M,None
3,3.6,Analysis Engine,Build team manifest generator,"Implement generate_manifest() in src/analyze.py. Assembles the full team-manifest.schema.json from all analysis outputs: project metadata, project_type, selected_archetypes, workstream_experts, tool_agents, authority_hierarchy. Write manifest to a temp file (or return as dict). This is the handoff to the rendering stage.","src/analyze.py (generate_manifest)",3.1–3.5,P1,M,None
4,4.1,Rendering Engine,Implement template loader,"Implement load_template(template_path) in src/render.py. Read template, identify all {PLACEHOLDER} and {MANUAL:PLACEHOLDER} occurrences using regex. Return (template_text, auto_placeholders: list, manual_placeholders: list).","src/render.py (load_template)",1.1–1.21,P1,S,None
4,4.2,Rendering Engine,Implement placeholder resolver,"Implement resolve_placeholders(template_text, manifest) in src/render.py. Build resolution map from manifest: project_name, goal summary, deliverable names, workstream slugs, tool names, output directory paths, authority sources. Apply substitutions for all auto-resolvable placeholders. Leave {MANUAL:X} placeholders unsubstituted but track them. Return (rendered_text, unresolved_manual_list).","src/render.py (resolve_placeholders)",4.1,P1,M,None
4,4.3,Rendering Engine,Implement agent file renderer,"Implement render_agent(archetype, manifest, framework_adapter) in src/render.py. Load the appropriate template. Resolve placeholders. Apply framework adapter transforms (YAML front matter, handoff blocks, model field). Return final rendered text. For workstream experts: call render_workstream_expert(workstream, manifest, framework_adapter) which populates component-specific fields.","src/render.py (render_agent)",4.2,P1,M,None
4,4.4,Rendering Engine,Implement cross-reference validator,"Implement validate_cross_refs(rendered_agents: dict) in src/render.py. For each rendered agent file: extract all agent slug references from handoffs and agents: lists; verify each referenced slug exists in the rendered_agents dict. Return list of broken references. This catches template authoring errors before files are written.","src/render.py (validate_cross_refs)",4.3,P1,M,"Run this before emit — fix references within the render stage, not after writing files."
4,4.5,Rendering Engine,Implement SETUP-REQUIRED.md generator,"Implement generate_setup_required(manual_placeholders: list) in src/render.py. Produces a Markdown file listing every unresolved manual placeholder, the file it appears in, a description of what it needs (derived from the placeholder name), and instructions for completion. This file is written to the project root alongside copilot-instructions.md.","src/render.py (generate_setup_required)",4.3,P1,S,None
5,5.1,Framework Adapters,Define base adapter interface,"Write src/frameworks/base.py. Define abstract class FrameworkAdapter with abstract methods: render_agent_file(agent_manifest: dict) → str, render_instructions(project_manifest: dict) → str, get_file_extension() → str, supports_handoffs() → bool, get_agents_dir() → str (relative path for agent files within .github/).","src/frameworks/base.py",4.3,P1,S,None
5,5.2,Framework Adapters,Implement VS Code Copilot adapter,"Write src/frameworks/copilot_vscode.py. Implements FrameworkAdapter. Output format: .agent.md with full YAML front matter (name, description, user-invokable, tools, agents, model, handoffs). get_agents_dir() returns '.github/agents'. supports_handoffs() returns True. YAML front matter must be valid YAML — validate with yaml.safe_load before returning.","src/frameworks/copilot_vscode.py",5.1,P1,M,"Use only stdlib; implement minimal YAML serializer for front matter to avoid external dependency."
5,5.3,Framework Adapters,Implement Copilot CLI adapter,"Write src/frameworks/copilot_cli.py. Output format: plain .md system-prompt files without YAML front matter. Handoffs block is omitted; downstream agent invocations are described in prose instructions. get_agents_dir() returns '.github/agents'. supports_handoffs() returns False. Instructions file format: standard Markdown, no YAML.","src/frameworks/copilot_cli.py",5.1,P2,M,"Lower priority — VS Code Copilot is the primary target."
5,5.4,Framework Adapters,Implement Claude Projects adapter,"Write src/frameworks/claude.py. Output format: CLAUDE.md for the main project instructions; individual agent system prompts as plain .md files. Sub-agent delegation is described as <use_mcp_tool> or plain instruction blocks depending on Claude Projects conventions at time of implementation. supports_handoffs() returns False.","src/frameworks/claude.py",5.1,P2,M,"Review current Claude Projects documentation before implementing."
6,6.1,CLI Entry Point,Implement argument parser,"Implement argument parsing in build_team.py using argparse. Arguments: --project PATH (required), --description FILE (required if project is empty), --framework NAME (default: copilot-vscode; choices: copilot-vscode, copilot-cli, claude), --dry-run (flag), --overwrite (flag), --yes (skip confirmation prompts), --llm-assist (flag, requires API key in env). Add --version.","build_team.py (arg parser)",5.1–5.4,P1,S,None
6,6.2,CLI Entry Point,Implement main pipeline orchestration,"Implement main() in build_team.py. Step sequence: (1) parse args, (2) ingest(description, project), (3) validate input, (4) analyze → manifest, (5) render all agents using selected adapter, (6) validate cross-refs, (7) dry-run: print file list and exit; otherwise emit files, (8) generate SETUP-REQUIRED.md if manual placeholders exist, (9) print summary report.","build_team.py (main)",6.1,P1,M,None
6,6.3,CLI Entry Point,Implement emit step with safety checks,"Implement src/emit.py. For each file to be written: check if destination file already exists; if yes and --overwrite not set, skip and add to skipped-files list; if yes and --overwrite set, prompt unless --yes flag is present; write file with utf-8 encoding. After all writes, report: files written, files skipped, total agent count, manual placeholders remaining.","src/emit.py",6.2,P1,M,"Never silently overwrite. Always report what was and was not written."
6,6.4,CLI Entry Point,Implement dry-run mode,"In main(), when --dry-run is set: run ingest, analyze, and render steps normally but pass to emit.py with dry_run=True. emit.py prints the would-be file list and first 20 lines of each rendered file to stdout. Exits with code 0. Useful for verifying output before committing.","build_team.py + src/emit.py (dry-run)",6.3,P1,S,None
6,5.5,CLI Entry Point,Implement LLM-assist mode,"When --llm-assist is set: after ingest but before analyze, make an LLM call passing the structured project description and requesting: (1) improved workstream extraction with rationale, (2) suggested names and slugs for domain agents, (3) flagged ambiguities in the description. Merge response into the normalized dict before proceeding. Requires OPENAI_API_KEY or ANTHROPIC_API_KEY in environment. Gracefully degrade if API call fails.","build_team.py (llm_assist branch) + src/llm_assist.py",2.3,P3,L,"Phase 3 priority — not required for basic operation. Implement last."
7,7.1,Testing & Examples,Create software project example,"Write examples/software-project/brief.md: a project description for a Python web API project. Write examples/software-project/expected/: the expected .agent.md outputs, copilot-instructions.md, and SETUP-REQUIRED.md. This is the primary integration test fixture.","examples/software-project/",1.1–1.21,P1,M,"Use a realistic but generic project description to avoid embedding proprietary information."
7,7.2,Testing & Examples,Create research project example,"Write examples/research-project/brief.md: a project description for an academic research paper with citations. Write examples/research-project/expected/: expected outputs including reference-manager agent and multiple workstream experts.","examples/research-project/",1.1–1.21,P2,M,None
7,7.3,Testing & Examples,Create data pipeline example,"Write examples/data-pipeline/brief.md: a project description for an ETL data pipeline with tool-specific agents. Write examples/data-pipeline/expected/: expected outputs including tool-specific agents and output-compiler.","examples/data-pipeline/",1.1–1.21,P2,M,None
7,7.4,Testing & Examples,Write unit tests for ingest.py,"Write tests/test_ingest.py. Test cases: valid structured Markdown description, unstructured description (fallback), empty file (expect validation error), missing project_goal (expect validation error), existing project scan with README, existing project with no README.","tests/test_ingest.py",2.3–2.5,P1,M,None
7,7.5,Testing & Examples,Write unit tests for analyze.py,"Write tests/test_analyze.py. Test cases: software project type classification, content project type classification, mixed project type, workstream extraction with 2 deliverables, workstream merging for small workstreams, archetype selection for software profile, archetype selection for research profile, authority hierarchy with custom sources.","tests/test_analyze.py",3.1–3.6,P1,M,None
7,7.6,Testing & Examples,Write unit tests for render.py,"Write tests/test_render.py. Test cases: placeholder resolution with all auto-resolved placeholders, unresolved manual placeholder tracking, cross-reference validation detecting a broken slug reference, SETUP-REQUIRED.md generation with multiple manual placeholders.","tests/test_render.py",4.1–4.5,P1,M,None
7,7.7,Testing & Examples,Write integration tests,"Write tests/test_integration.py. For each example in examples/: run full pipeline with the example brief against the copilot-vscode adapter; compare output files to expected/ outputs (normalize whitespace); assert zero broken cross-references; assert all auto-resolved placeholders are filled; assert expected workstream expert count.","tests/test_integration.py",7.1–7.3,P1,M,None
7,7.8,Testing & Examples,Validate generated team files parse correctly,"For each generated .agent.md in integration tests: verify YAML front matter parses with yaml.safe_load; verify required fields (name, description, tools) are present and non-empty; verify all handoff agent slugs resolve within the generated team; verify no {PLACEHOLDER} strings remain in auto-resolved fields.","tests/test_integration.py (validation assertions)",7.7,P1,S,None
8,8.1,Documentation,Complete README.md,"Write the full README.md. Sections: quick start (3 commands), description format guide with all section headers and examples, full CLI reference (all flags with descriptions and defaults), framework comparison table, example output structure, how to extend (add a new template, add a new framework adapter), constitutional rules that all generated teams enforce, troubleshooting common errors.","README.md",6.1–6.4,P1,M,None
8,8.2,Documentation,Write template authoring guide,"Write templates/AUTHORING-GUIDE.md. Cover: placeholder syntax conventions (auto vs manual), invariant core rules, required sections for each agent tier, how to register a new domain archetype (add template + add to archetype selector in analyze.py), YAML front matter field requirements for copilot-vscode.","templates/AUTHORING-GUIDE.md",0.5,P2,M,None
8,8.3,Documentation,Write project description format guide,"Write docs/DESCRIPTION-FORMAT.md. Document each section of the project description format with: purpose, what the engine does with it, examples (good and bad), common mistakes. Include a template the user can copy and fill in.","docs/DESCRIPTION-FORMAT.md",2.1,P2,S,None
8,8.4,Documentation,Document agent taxonomy in references/,"Write .github/agents/references/agent-taxonomy.reference.md documenting the four-tier model (orchestrator, governance, domain, workstream expert) and tool-specific sub-type. This serves as the reference document for the module's own meta-agents.","/.github/agents/references/agent-taxonomy.reference.md",1.1–1.21,P2,S,"This document is for the module's own meta-agents; do not conflate with project-level docs."
8,5.5,Documentation,Create the module's own meta-agent team,"Generate the module's own .github/agents/ using the module itself (dogfooding). Run: python build_team.py --project /agentteams --description build-team-plan.md --framework copilot-vscode. Review and refine the generated agents. This validates the module and serves as a living example.","/.github/agents/*.agent.md",6.1–6.4,P2,M,"Run this only after the module is functional end-to-end."
