category,severity,control_area,observation,risk,authoritative_basis,evidence_path,recommendation,owner_suggestion,priority,response_status,response_notes
traditional,high,operational-fail-safe,daily maintenance scripts use warn and continue semantics for security critical steps,security regressions can ship silently and accumulate until external detection,NIST SSDF RV.1; NIST SP 800-30; OWASP ASVS V1.1,scripts/run_daily_security_maintenance.sh:31; scripts/run_daily_bridge_maintenance.sh:34,make security scan and drift check fail closed in CI and require explicit waiver tokens,security engineer; release manager,P1,solution-defined,mapped-to-SOL-01;see-references/security-posture-solutions-2026-05-10.csv
traditional,medium,secrets-and-data-loss-prevention,security scanning is regex based for credentials pii and placeholders without entropy or context aware analysis,novel secret formats and obfuscated leakage may evade detection,OWASP ASVS V5.0; OWASP Top 10 A02; NIST SSDF PW.6,agentteams/scan.py:23; agentteams/scan.py:30; agentteams/scan.py:40; agentteams/scan.py:110,add entropy detectors structured parsers and tested allow deny policies with tuning baselines,appsec engineer,P2,solution-defined,mapped-to-SOL-02;see-references/security-posture-solutions-2026-05-10.csv
traditional,high,change-control-gates,destructive gate requires exact six column decision log schema while repository log is nine columns,legitimate destructive safety operations can hard fail and create pressure for unsafe bypasses,NIST SSDF PO.3; NIST SSDF RV.1; OWASP ASVS V1.14,build_team.py:1358; references/security-decisions.log.csv:1,version the schema and accept backward compatible columns with strict required subset validation,governance maintainer,P1,solution-defined,mapped-to-SOL-03;see-references/security-posture-solutions-2026-05-10.csv
traditional,medium,threat-intel-artifact-integrity,root references directory lacks security vulnerability watch artifacts while templates expect them,operators may proceed with stale or missing baseline evidence,NIST SP 800-30; NIST SSDF PW.4,build_team.py:646; build_team.py:647; references; examples/project-repositories/expected/references/security-vulnerability-watch.json,generate baseline artifacts during bootstrap and enforce presence checks before update workflows,security automation owner,P2,solution-defined,mapped-to-SOL-04;see-references/security-posture-solutions-2026-05-10.csv
traditional,low,supply-chain-fetch-hardening,network source controls enforce https allowlist and size bounds but do not verify signed payload provenance,upstream feed compromise at allowed domains could still poison decisions,OWASP Top 10 A08; MITRE ATT&CK T1195; NIST SSDF PW.4,agentteams/security_refs.py:38; agentteams/security_refs.py:48; agentteams/security_refs.py:293,add signature verification or detached checksum validation and immutable snapshot retention,supply chain security owner,P3,solution-defined,mapped-to-SOL-05;see-references/security-posture-solutions-2026-05-10.csv
ml-powered,high,ml-threat-modeling,ml and ai risk handling is primarily static taxonomy injection without runtime control verification,poisoning evasion and model abuse scenarios remain untested in production paths,NIST AI RMF Govern; MITRE ATLAS; NIST SSDF PW.1,agentteams/security_refs.py:66; agentteams/security_refs.py:483; agentteams/security_refs.py:711,add ai misuse test cases and control assertions in maintenance pipelines,ai security owner,P1,solution-defined,mapped-to-SOL-06;see-references/security-posture-solutions-2026-05-10.csv
ml-powered,medium,ml-governance-evidence,mitre atlas and related ai references are listed as links not mapped to enforced controls,assurance claims can drift from actual implementation reality,MITRE ATLAS; NIST AI RMF Map; NIST SP 800-30,agentteams/security_refs.py:150; agentteams/security_refs.py:157; agentteams/security_refs.py:713,maintain a control matrix mapping atlas techniques to repository tests and mitigations,security governance lead,P2,solution-defined,mapped-to-SOL-07;see-references/security-posture-solutions-2026-05-10.csv
ml-powered,medium,adversarial-testing-coverage,daily security regression suite focuses code and feed handling not adversarial ml behavior,no continuous detection of model exploitation patterns or abuse regressions,MITRE ATLAS; OWASP ML Security guidance; NIST SSDF RV.2,scripts/run_daily_security_maintenance.sh:54,add adversarial prompt and data poisoning simulation tests with pass fail thresholds,qa security lead,P2,solution-defined,mapped-to-SOL-08;see-references/security-posture-solutions-2026-05-10.csv
llm-powered,high,prompt-injection-defense,owasp llm top 10 is embedded as static content but no prompt injection guardrail enforcement is present,agents may trust hostile context and perform unintended actions,OWASP LLM Top 10 2025 LLM01; MITRE ATLAS; NIST AI RMF Manage,agentteams/security_refs.py:66; agentteams/security_refs.py:483; agentteams/security_refs.py:711,implement prompt boundary controls policy checks and red team prompts in CI,llm security engineer,P1,solution-defined,mapped-to-SOL-09;see-references/security-posture-solutions-2026-05-10.csv
llm-powered,high,agentic-permission-boundaries,automation runs in non interactive yes mode including update and merge flows with broad write impact,excessive agency increases blast radius from llm or instruction misuse,OWASP LLM Top 10 2025 LLM06; OWASP ASVS V4.1,scripts/run_daily_security_maintenance.sh:37; build_team.py:728; build_team.py:877,enforce scoped approval for cross repo writes and require signed intent for destructive classes,platform owner,P1,solution-defined,mapped-to-SOL-10;see-references/security-posture-solutions-2026-05-10.csv
llm-powered,medium,unsafe-output-consumption,auto correct invokes external copilot cli remediation then reruns audit without strict policy gate,llm generated edits may introduce insecure logic or policy drift,OWASP LLM Top 10 2025 LLM05; OWASP Top 10 A03,build_team.py:753; build_team.py:903,add mandatory diff policy checks and high risk pattern blockers before accepting auto corrections,repo maintainer; appsec,P2,solution-defined,mapped-to-SOL-11;see-references/security-posture-solutions-2026-05-10.csv
llm-powered,medium,sensitive-information-disclosure-controls,secret leakage prevention for llm generated files relies mainly on regex scanning,contextual leaks and transformed secrets may bypass static patterns,OWASP LLM Top 10 2025 LLM02; OWASP ASVS V8; NIST SSDF PW.6,agentteams/scan.py:30; agentteams/scan.py:224,add DLP style detectors and semantic secret classifiers with quarantine workflow,security tooling owner,P2,solution-defined,mapped-to-SOL-12;see-references/security-posture-solutions-2026-05-10.csv
cvss-epss,high,threat-intel-freshness-governance,daily maintenance uses offline and no nvd flags by default with warn and continue behavior,cvss coverage and timeliness degrade while pipeline still reports progress,FIRST EPSS documentation; CVSS v3.1 guide; CVSS v4 specification; NIST SP 800-30,scripts/run_daily_security_maintenance.sh:37; scripts/run_daily_security_maintenance.sh:31; agentteams/security_refs.py:621,define policy when offline mode is allowed and fail pipeline when freshness SLA is violated,vulnerability management owner,P1,solution-defined,mapped-to-SOL-13;see-references/security-posture-solutions-2026-05-10.csv
cvss-epss,medium,scoring-completeness,nvd enrichment is optional and capped to five cves which can truncate severity context for active sets,prioritization may underweight high impact issues outside sampled cves,CVSS v3.1 specification; CVSS v4 specification; NIST SSDF RV.3,agentteams/security_refs.py:380; agentteams/security_refs.py:597; agentteams/security_refs.py:641,remove hard cap or apply deterministic risk based sampling with explicit disclosure in output,security data engineering,P2,solution-defined,mapped-to-SOL-14;see-references/security-posture-solutions-2026-05-10.csv
cvss-epss,medium,risk-decision-criteria,kev and epss data are ingested but governance logic lacks explicit numeric action thresholds,remediation decisions may be inconsistent across runs and operators,CISA KEV guidance; FIRST EPSS guidance; NIST SP 800-30,agentteams/security_refs.py:325; agentteams/security_refs.py:340; agentteams/security_refs.py:570,define threshold policy such as kev true or epss percentile gates tied to required action,vulnerability triage lead,P2,solution-defined,mapped-to-SOL-15;see-references/security-posture-solutions-2026-05-10.csv
cvss-epss,medium,stale-data-signaling,stale data warning exists but can coexist with successful completion semantics in maintenance scripts,decision makers may treat stale intelligence as current and accept residual risk,NIST SP 800-30; NIST SSDF RV.1; OWASP ASVS V1.10,agentteams/security_refs.py:57; agentteams/security_refs.py:680; scripts/run_daily_security_maintenance.sh:31,elevate stale intelligence to blocking status for privileged update paths and require documented exception,security operations,P2,solution-defined,mapped-to-SOL-16;see-references/security-posture-solutions-2026-05-10.csv
